Phone_Name,Price,Battery_Info,Processor_Info,Display_Info,Camera_Info,OS_Info,Phone_Score,Over_All_Comment
Samsung Galaxy S25 128GB,"Rs.74,999","4000 mAh,Fast Charging,USB Type-C Port","Octa core (4.47 GHz, Dual Core + 3.5 GHz, Hexa Core),Snapdragon 8 Elite,12 GB RAM","6.2 inches (15.75 cm),FHD+ Dynamic AMOLED 2x,120 Hz Refresh Rate","50 MP + 12 MP + 10 MP Triple Primary Cameras,LED Flash,12 MP Front Camera",Android v15,98%,
Samsung Galaxy S25 512GB,"Rs.92,999","4000 mAh,Fast Charging,USB Type-C Port","Octa core (4.47 GHz, Dual Core + 3.5 GHz, Hexa Core),Snapdragon 8 Elite,12 GB RAM","6.2 inches (15.75 cm),FHD+ Dynamic AMOLED 2x,120 Hz Refresh Rate","50 MP + 12 MP + 10 MP Triple Primary Cameras,LED Flash,12 MP Front Camera",Android v15,99%,
Samsung Galaxy S25,"Rs.80,999","4000 mAh,Fast Charging,USB Type-C Port","Octa core (4.47 GHz, Dual Core + 3.5 GHz, Hexa Core),Snapdragon 8 Elite,12 GB RAM","6.2 inches (15.75 cm),FHD+ Dynamic AMOLED 2x,120 Hz Refresh Rate","50 MP + 12 MP + 10 MP Triple Primary Cameras,LED Flash,12 MP Front Camera",Android v15,98%,
Samsung Galaxy S25 Plus 512GB,"Rs.111,999","4900 mAh,Fast Charging,USB Type-C Port","Octa core (4.47 GHz, Dual Core + 3.5 GHz, Hexa Core),Snapdragon 8 Elite,12 GB RAM","6.7 inches (17.02 cm),QHD+ Dynamic AMOLED 2x,120 Hz Refresh Rate","50 MP + 12 MP + 10 MP Triple Primary Cameras,LED Flash,12 MP Front Camera",Android v15,99%,
Samsung Galaxy S25 Plus,"Rs.99,999","4900 mAh,Fast Charging,USB Type-C Port","Octa core (4.47 GHz, Dual Core + 3.5 GHz, Hexa Core),Snapdragon 8 Elite,12 GB RAM","6.7 inches (17.02 cm),QHD+ Dynamic AMOLED 2x,120 Hz Refresh Rate","50 MP + 12 MP + 10 MP Triple Primary Cameras,LED Flash,12 MP Front Camera",Android v15,99%,
Samsung Galaxy S25 Ultra 512GB,"Rs.141,999","5000 mAh,Fast Charging,USB Type-C Port","Octa core (4.47 GHz, Dual Core + 3.5 GHz, Hexa Core),Snapdragon 8 Elite,12 GB RAM","6.9 inches (17.53 cm),QHD+ Dynamic AMOLED 2x,120 Hz Refresh Rate","200 + 50 + 10 + 50 MP Quad Primary Cameras,LED Flash,12 MP Front Camera",Android v15,99%,
Samsung Galaxy S25 Ultra,"Rs.129,999","5000 mAh,Fast Charging,USB Type-C Port","Octa core (4.47 GHz, Dual Core + 3.5 GHz, Hexa Core),Snapdragon 8 Elite,12 GB RAM","6.9 inches (17.53 cm),QHD+ Dynamic AMOLED 2x,120 Hz Refresh Rate","200 + 50 + 10 + 50 MP Quad Primary Cameras,LED Flash,12 MP Front Camera",Android v15,99%,
OnePlus 13 1TB,"Rs.89,997","6000 mAh,Super VOOC Charging,USB Type-C Port","Octa core (4.32 GHz, Dual Core + 3.53 GHz, Hexa Core),Snapdragon 8 Elite,24 GB RAM","6.82 inches (17.32 cm),QHD+ LTPO AMOLED,120 Hz Refresh Rate","50 MP + 50 MP + 50 MP Triple Primary Cameras,LED Flash,32 MP Front Camera",Android v15,98%,"""The phone with the highest RAM"""
iQOO 13 5G 512GB,"Rs.59,999","6000 mAh,Flash Charging,USB Type-C Port","Octa core (4.32 GHz, Dual Core + 3.53 GHz, Hexa Core),Snapdragon 8 Elite,16 GB RAM","6.82 inches (17.32 cm),QHD+ LTPO AMOLED,144 Hz Refresh Rate","50 MP + 50 MP + 50 MP Triple Primary Cameras,Ring LED,32 MP Front Camera",Android v15,98%,
iQOO 13 5G,"Rs.54,999","6000 mAh,Flash Charging,USB Type-C Port","Octa core (4.32 GHz, Dual Core + 3.53 GHz, Hexa Core),Snapdragon 8 Elite,12 GB RAM","6.82 inches (17.32 cm),QHD+ LTPO AMOLED,144 Hz Refresh Rate","50 MP + 50 MP + 50 MP Triple Primary Cameras,Ring LED,32 MP Front Camera",Android v15,98%,
realme GT 7 Pro 512GB,"Rs.55,999","5800 mAh,Super VOOC Charging,USB Type-C Port","Octa core (4.32 GHz, Dual Core + 3.53 GHz, Hexa Core),Snapdragon 8 Elite,16 GB RAM","6.78 inches (17.22 cm),FHD+ LTPO AMOLED,120 Hz Refresh Rate","50 MP + 8 MP + 50 MP Triple Primary Cameras,Dual LED Flash,16 MP Front Camera",Android v15,98%,
OnePlus 13s,"Rs.54,998","5850 mAh,Super VOOC Charging,USB Type-C Port","Octa core (4.32 GHz, Dual Core + 3.53 GHz, Hexa Core),Snapdragon 8 Elite,12 GB RAM","6.32 inches (16.05 cm),FHD+ ProXDR LTPO,120 Hz Refresh Rate","50 MP + 50 MP Dual Primary Cameras,LED Flash,32 MP Front Camera",Android v15,97%,"""The most popular phone with Dual-Core processor"""
OnePlus 13s 512GB,"Rs.59,998","5850 mAh,Super VOOC Charging,USB Type-C Port","Octa core (4.32 GHz, Dual Core + 3.53 GHz, Hexa Core),Snapdragon 8 Elite,12 GB RAM","6.32 inches (16.05 cm),FHD+ ProXDR LTPO,120 Hz Refresh Rate","50 MP + 50 MP Dual Primary Cameras,LED Flash,32 MP Front Camera",Android v15,97%,
Motorola Razr 60 Ultra,"Rs.99,999","4700 mAh,Turbo Power Charging,USB Type-C Port","Octa core (4.32 GHz, Dual Core + 3.53 GHz, Hexa Core),Snapdragon 8 Elite,16 GB RAM","6.96 inches (17.68 cm),1224x2992 px LTPO AMOLED,165 Hz Refresh Rate","50 MP + 50 MP Dual Primary Cameras,LED Flash,50 MP Front Camera",Android v15,97%,"""The best Motorola phone in terms of specifications"""
Xiaomi 15 Ultra,"Rs.109,998","5410 mAh,Hyper Charging,USB Type-C Port","Octa core (4.32 GHz, Dual Core + 3.53 GHz, Hexa Core),Snapdragon 8 Elite,16 GB RAM","6.73 inches (17.09 cm),QHD+ LTPO AMOLED,120 Hz Refresh Rate","50 + 50 + 50 + 200 MP Quad Primary Cameras,Dual LED Flash,32 MP Front Camera",Android v15,99%,"""The best phone in terms of specifications"""
OnePlus 13,"Rs.69,997","6000 mAh,Super VOOC Charging,USB Type-C Port","Octa core (4.32 GHz, Dual Core + 3.53 GHz, Hexa Core),Snapdragon 8 Elite,12 GB RAM","6.82 inches (17.32 cm),QHD+ LTPO AMOLED,120 Hz Refresh Rate","50 MP + 50 MP + 50 MP Triple Primary Cameras,LED Flash,32 MP Front Camera",Android v15,98%,
OnePlus 13 512GB,"Rs.76,997","6000 mAh,Super VOOC Charging,USB Type-C Port","Octa core (4.32 GHz, Dual Core + 3.53 GHz, Hexa Core),Snapdragon 8 Elite,16 GB RAM","6.82 inches (17.32 cm),QHD+ LTPO AMOLED,120 Hz Refresh Rate","50 MP + 50 MP + 50 MP Triple Primary Cameras,LED Flash,32 MP Front Camera",Android v15,98%,
realme GT 7 Pro,"Rs.50,999","5800 mAh,Super VOOC Charging,USB Type-C Port","Octa core (4.32 GHz, Dual Core + 3.53 GHz, Hexa Core),Snapdragon 8 Elite,12 GB RAM","6.78 inches (17.22 cm),FHD+ LTPO AMOLED,120 Hz Refresh Rate","50 MP + 8 MP + 50 MP Triple Primary Cameras,Dual LED Flash,16 MP Front Camera",Android v15,98%,
Samsung Galaxy S25 Edge 512GB,"Rs.121,999","3900 mAh,Fast Charging,USB Type-C Port","Octa core (4.47 GHz, Dual Core + 3.5 GHz, Hexa Core),Snapdragon 8 Elite,12 GB RAM","6.7 inches (17.02 cm),QHD+ Dynamic AMOLED 2x,120 Hz Refresh Rate","200 MP + 12 MP Dual Primary Cameras,LED Flash,12 MP Front Camera",Android v15,96%,"""The fastest phone"""
OPPO Find X8 512GB,"Rs.74,999","5630 mAh,Super VOOC Charging,USB Type-C Port","Octa core (3.63 GHz, Single Core + 3.3 GHz, Tri core + 2.4 GHz, Quad core),MediaTek Dimensity 9400,16 GB RAM","6.59 inches (16.74 cm),FHD+ ProXDR LTPO,120 Hz Refresh Rate","50 MP + 50 MP + 50 MP Triple Primary Cameras,LED Flash,32 MP Front Camera",Android v15,97%,
